field,types,records_with_field,field_coverage_pct,matched_field_coverage_pct,records_with_value,value_coverage_pct,matched_value_coverage_pct,returned_record_count,submitted_domain_count,occurrences
employee_count_by_month.2013-10,integer,73,20.92,34.76,73,20.92,34.76,210,349,73
employee_count_by_month.2013-11,integer,73,20.92,34.76,73,20.92,34.76,210,349,73
employee_count_by_month.2013-12,integer,73,20.92,34.76,73,20.92,34.76,210,349,73
employee_count_by_month.2014-01,integer,76,21.78,36.19,76,21.78,36.19,210,349,76
employee_count_by_month.2014-02,integer,76,21.78,36.19,76,21.78,36.19,210,349,76
employee_count_by_month.2014-03,integer,76,21.78,36.19,76,21.78,36.19,210,349,76
employee_count_by_month.2014-04,integer,76,21.78,36.19,76,21.78,36.19,210,349,76
employee_count_by_month.2014-05,integer,76,21.78,36.19,76,21.78,36.19,210,349,76
employee_count_by_month.2014-06,integer,76,21.78,36.19,76,21.78,36.19,210,349,76
employee_count_by_month.2014-07,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2014-08,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2014-09,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2014-10,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2014-11,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2014-12,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2015-01,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2015-02,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2015-03,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2015-04,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2015-05,integer,77,22.06,36.67,77,22.06,36.67,210,349,77
employee_count_by_month.2015-06,integer,78,22.35,37.14,78,22.35,37.14,210,349,78
employee_count_by_month.2015-07,integer,78,22.35,37.14,78,22.35,37.14,210,349,78
employee_count_by_month.2015-08,integer,78,22.35,37.14,78,22.35,37.14,210,349,78
employee_count_by_month.2015-09,integer,78,22.35,37.14,78,22.35,37.14,210,349,78
employee_count_by_month.2015-10,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2015-11,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2015-12,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2016-01,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2016-02,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2016-03,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2016-04,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2016-05,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2016-06,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2016-07,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2016-08,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2016-09,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2016-10,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2016-11,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2016-12,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2017-01,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2017-02,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2017-03,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2017-04,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2017-05,integer,79,22.64,37.62,79,22.64,37.62,210,349,79
employee_count_by_month.2017-06,integer,81,23.21,38.57,81,23.21,38.57,210,349,81
employee_count_by_month.2017-07,integer,81,23.21,38.57,81,23.21,38.57,210,349,81
employee_count_by_month.2017-08,integer,81,23.21,38.57,81,23.21,38.57,210,349,81
